"","gens","D_Female_Pred","D_D_Allele_Pred","D_W_Allele_Pred","D_R_Allele_Pred","D_B_Allele_Pred","I_Female_Pred","I_D_Allele_Pred","I_W_Allele_Pred","I_R_Allele_Pred","I_B_Allele_Pred"
"13",13,0.429785320715773,0.0730745546721547,0.799246014353753,0.0609363379200289,0.0667430930540636,0.363144896008297,0.140899393864313,0.812954804010959,0.0231714502803971,0.0229743518443315
"14",14,0.435404635400631,0.0673127648720643,0.796528410981171,0.0670342963863094,0.0691245277604555,0.366740915450557,0.13800812699772,0.808480172525402,0.0279754428138593,0.0255362576630186
"15",15,0.440597453584731,0.0619562088659031,0.794024240650458,0.0730285369041979,0.0709910135794412,0.370503321262716,0.135012211736002,0.803385480996182,0.0334824483483769,0.0281198589194389
"16",16,0.445382555413602,0.0569946368369746,0.791732583562747,0.078883347227451,0.0723894323728278,0.374419852153068,0.131920527625746,0.797637308962852,0.0397443041549889,0.0306978592564124
"17",17,0.449781814375274,0.0524129516697738,0.78964788660171,0.0845701971865925,0.0733689645419241,0.37847483020926,0.128743585462904,0.791209210526092,0.0468056007296031,0.0332416032814013
"18",18,0.453818956991643,0.0481926305228012,0.787761445354292,0.090067181011619,0.0739787431112876,0.382649424676467,0.125493327951928,0.784083137799499,0.054701506645165,0.035722027603408
"19",19,0.457518569061024,0.0443129468445234,0.786062569313719,0.0953583229446655,0.0742661608970921,0.386922074916207,0.12218287456231,0.776250610301733,0.0634558330670891,0.0381106820688672
"20",20,0.460905328014607,0.0407519749891736,0.784539464810624,0.100432822424705,0.0742757377754977,0.391269051274213,0.118826223120867,0.767713540433298,0.0730794870167812,0.0403807494290543
"21",21,0.464003432090713,0.0374873835263784,0.78317988131463,0.105284294641944,0.0740484405170478,0.395665119865329,0.115437923593073,0.758484649067265,0.0835694380421846,0.0425079892974776
"22",22,0.466836194190075,0.0344970374427989,0.781971568085624,0.109910044498029,0.0736213499735479,0.400084268370083,0.112032741037795,0.748587436686384,0.0949082833375604,0.0444715389382605
"23",23,0.469425769142026,0.0317594361725142,0.780902584118997,0.114310397647902,0.073027582060587,0.404500446024517,0.108625324748056,0.738055710413473,0.107064446638489,0.0462545181999819
"24",24,0.471792986020092,0.0292540161288961,0.7799614979211,0.118488101338228,0.0722963846117759,0.40888827235038,0.105229899188091,0.726932701278553,0.119992993180568,0.0478444063527885
"25",25,0.473957260975762,0.0269613450797453,0.779137506709983,0.1224477998275,0.0714533483827722,0.413223675191294,0.10185998974652,0.715269835109864,0.133636993748248,0.0492331813953678
"26",26,0.475936570105342,0.0248632327380151,0.778420498160109,0.126195583752496,0.0705206853493799,0.417484427988404,0.098528192915527,0.703125241541212,0.147929331404684,0.0504172341385768
"27",27,0.477747465716215,0.0229427783008009,0.777801072245348,0.129738609349564,0.0695175401042873,0.421650567312895,0.0952459967077553,0.690562097225019,0.162794818878554,0.0513970871886712
"28",28,0.479405122803614,0.0211843719626053,0.777270536201108,0.133084781449469,0.0684603103868179,0.425704682867395,0.0920236533632048,0.677646901317369,0.178152484275174,0.0521769610442522
"29",29,0.480923405502588,0.0195736639940487,0.776820882069076,0.136242493221732,0.067362960715143,0.429632082171256,0.0888701030386808,0.6644477747816,0.193917886881036,0.0527642352986834
"30",30,0.482314945734293,0.0180975119752359,0.77644475357379,0.139220415414582,0.0662373190363919,0.433420840103399,0.0857929444665142,0.651032862009831,0.210005340632559,0.0531688528910952
